,model_year,origin,fuel_type,drivetrain,num_doors,engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,fuel_efficiency_mpg
2654,2009,Asia,Gasoline,All-wheel drive,3,2160,6,224.0,4110,19.9,30.0
2655,1990,Asia,Gasoline,Front-wheel drive,4,2050,6,241.0,4220,18.5,27.4
2656,1981,USA,Gasoline,Front-wheel drive,3,2120,6,264.0,4090,18.4,26.4
2657,1989,Asia,Gasoline,All-wheel drive,5,2600,7,278.0,4710,16.1,27.9
2658,1980,Asia,Gasoline,All-wheel drive,4,2480,7,,4390,20.6,25.3
2659,1991,USA,Gasoline,Front-wheel drive,3,2590,7,288.0,4550,19.6,28.0
2660,2014,Europe,Gasoline,Front-wheel drive,4,2340,7,240.0,4370,17.9,32.4
2661,2005,Europe,Gasoline,Front-wheel drive,3,2080,6,208.0,4000,17.2,30.1
2662,1978,USA,Gasoline,All-wheel drive,2,2350,6,263.0,4560,18.1,25.4
2663,1983,Asia,Gasoline,Rear-wheel drive,2,1980,5,239.0,3920,20.5,33.7
2664,1979,Europe,Gasoline,All-wheel drive,4,1970,5,235.0,4070,20.8,27.4
2665,2014,Europe,Diesel,All-wheel drive,4,2290,6,246.0,4420,19.0,32.8
2666,2010,Asia,Gasoline,Rear-wheel drive,2,2000,5,227.0,3860,16.0,32.5
2667,1984,Asia,Gasoline,Rear-wheel drive,5,2270,6,,4160,18.3,26.8
2668,1979,Asia,Gasoline,Rear-wheel drive,5,2270,6,227.0,4370,18.3,30.1
2669,2000,Asia,Gasoline,Front-wheel drive,2,2620,7,278.0,4610,17.3,29.0
2670,2002,USA,Diesel,Front-wheel drive,5,2350,7,280.0,4790,18.8,29.1
2671,1988,USA,Gasoline,All-wheel drive,2,2310,6,258.0,4550,19.3,25.1
2672,2013,Asia,Gasoline,Rear-wheel drive,3,2190,6,246.0,4080,18.3,33.2
2673,2015,USA,Gasoline,Front-wheel drive,4,2360,7,270.0,4540,21.5,29.8
2674,1981,Europe,Gasoline,Rear-wheel drive,3,2210,6,216.0,4520,20.3,25.1
2675,1999,USA,Gasoline,All-wheel drive,3,2390,6,261.0,4660,18.6,25.7
2676,2020,USA,Gasoline,Rear-wheel drive,3,2130,6,270.0,4240,18.4,29.3
2677,1978,Asia,Gasoline,Front-wheel drive,4,2160,6,,3870,18.5,25.7
2678,1989,USA,Gasoline,Front-wheel drive,3,2530,6,288.0,4400,18.9,26.6
2679,2019,Asia,Gasoline,Front-wheel drive,4,2410,7,272.0,4320,18.8,30.8
2680,2009,USA,Gasoline,All-wheel drive,3,2330,7,269.0,4410,17.8,25.2
2681,1988,Asia,Gasoline,All-wheel drive,3,2550,6,281.0,4350,17.5,27.0
2682,2003,USA,Diesel,All-wheel drive,4,2710,8,325.0,5080,19.4,28.7
2683,1991,Europe,Gasoline,Rear-wheel drive,3,2300,6,243.0,4230,,26.9
2684,1998,USA,Gasoline,Front-wheel drive,3,2560,7,296.0,4240,16.2,27.1
2685,2009,USA,Gasoline,Front-wheel drive,4,2630,7,279.0,4620,19.9,29.7
2686,1978,USA,Gasoline,All-wheel drive,4,2370,6,271.0,4710,19.7,24.7
2687,1984,USA,Gasoline,Front-wheel drive,3,2400,6,,4370,18.4,25.8
2688,1999,Europe,Gasoline,Front-wheel drive,4,2190,5,232.0,3650,18.5,32.2
2689,1994,Asia,Gasoline,Rear-wheel drive,5,2240,6,220.0,4220,18.0,32.1
2690,2011,USA,Gasoline,Rear-wheel drive,5,2200,6,247.0,4270,18.3,30.5
2691,1983,USA,Hybrid,Rear-wheel drive,3,1850,5,,3970,18.8,31.6
2692,1984,Asia,Gasoline,Front-wheel drive,4,2470,7,,4400,19.1,28.5
2693,1991,Europe,Gasoline,Front-wheel drive,3,2320,5,228.0,4120,18.1,31.4
2694,1997,Asia,Gasoline,All-wheel drive,2,2580,6,270.0,4400,19.5,27.4
2695,2002,Europe,Diesel,All-wheel drive,3,2680,7,319.0,4730,18.3,25.0
2696,1977,Asia,Gasoline,Front-wheel drive,4,2590,7,276.0,4660,20.0,21.9
2697,2009,Europe,Gasoline,All-wheel drive,4,2440,7,286.0,4440,20.9,26.9
2698,1990,Europe,Gasoline,Front-wheel drive,3,2420,7,265.0,4220,19.2,28.1
2699,1996,USA,Gasoline,Front-wheel drive,3,2160,5,255.0,4310,18.9,26.5
2700,2011,Europe,Gasoline,Front-wheel drive,2,2200,6,225.0,4020,20.3,31.6
2701,2016,Asia,Diesel,Rear-wheel drive,2,2070,6,234.0,4140,17.1,31.6
2702,1998,Europe,Hybrid,Rear-wheel drive,4,2190,6,231.0,4340,,34.2
2703,1987,Europe,Diesel,Front-wheel drive,2,2160,6,252.0,4250,19.7,28.7
2704,2022,USA,Diesel,Front-wheel drive,3,2350,6,269.0,4300,14.6,35.2
2705,2008,USA,Gasoline,Front-wheel drive,2,2300,6,273.0,4580,15.8,30.4
2706,1987,Asia,Gasoline,All-wheel drive,5,2190,6,218.0,4560,20.3,26.0
2707,2007,Asia,Gasoline,Front-wheel drive,4,2220,6,260.0,3870,20.4,31.9
2708,2005,Europe,Diesel,Front-wheel drive,4,1890,5,223.0,4040,18.9,39.4
2709,2015,Asia,Gasoline,Front-wheel drive,5,2410,6,256.0,4460,18.9,31.1
2710,2023,USA,Diesel,Rear-wheel drive,4,2320,6,275.0,4150,18.5,34.9
2711,2013,USA,Gasoline,Front-wheel drive,2,2030,6,241.0,3960,18.7,33.1
2712,1984,USA,Gasoline,Front-wheel drive,2,2360,6,276.0,4100,21.5,27.9
2713,1979,USA,Gasoline,All-wheel drive,4,2450,6,,4800,19.9,20.2
2714,2010,Asia,Gasoline,Front-wheel drive,2,2350,6,230.0,4310,19.6,33.9
2715,2018,Asia,Diesel,Front-wheel drive,2,2070,6,240.0,3920,17.9,33.2
2716,1984,USA,Gasoline,Rear-wheel drive,4,2380,6,264.0,4470,20.4,27.0
2717,2012,USA,Hybrid,Rear-wheel drive,4,2430,7,281.0,5040,19.9,32.2
2718,1989,Asia,Gasoline,Front-wheel drive,4,2430,6,246.0,4560,21.1,27.3
2719,2012,USA,Gasoline,All-wheel drive,4,2520,7,296.0,4950,18.9,25.8
2720,2018,Asia,Gasoline,Front-wheel drive,5,2450,6,294.0,4610,19.3,34.0
2721,2008,USA,Hybrid,All-wheel drive,4,2340,6,269.0,4540,17.3,33.5
2722,2022,Asia,Diesel,Front-wheel drive,2,2220,6,264.0,4140,19.6,36.0
2723,1975,Europe,Diesel,Front-wheel drive,3,1990,5,,3820,18.7,31.0
2724,2002,USA,Gasoline,Front-wheel drive,5,2420,6,293.0,4350,20.4,28.2
2725,1982,Europe,Hybrid,Rear-wheel drive,3,2450,6,261.0,4650,20.2,30.4
2726,1980,Europe,Gasoline,Front-wheel drive,4,1820,5,,3880,18.4,27.8
2727,2010,Europe,Diesel,All-wheel drive,2,2160,6,261.0,4360,20.0,31.3
2728,2012,Europe,Gasoline,Front-wheel drive,3,2420,6,254.0,4180,16.2,31.0
2729,1999,USA,Gasoline,All-wheel drive,2,2210,6,260.0,4360,18.8,28.1
2730,1981,Europe,Diesel,All-wheel drive,5,2490,7,,4590,19.7,26.8
2731,2021,Europe,Diesel,Front-wheel drive,3,2130,6,274.0,4010,15.4,33.8
2732,1989,Asia,Diesel,Front-wheel drive,3,2390,6,267.0,4470,17.4,32.2
2733,1992,Asia,Gasoline,All-wheel drive,3,2030,7,247.0,4270,20.3,26.9
2734,2006,USA,Hybrid,Front-wheel drive,3,2260,6,266.0,4130,17.7,32.3
2735,2020,Asia,Gasoline,Front-wheel drive,2,1990,6,226.0,3630,17.3,30.5
2736,2016,Asia,Gasoline,Front-wheel drive,2,2490,6,261.0,4280,17.9,33.1
2737,1994,USA,Gasoline,Front-wheel drive,3,2340,6,266.0,4170,18.3,23.1
2738,1983,USA,Gasoline,Front-wheel drive,3,2570,7,287.0,4480,18.4,26.3
2739,1983,USA,Hybrid,All-wheel drive,2,2380,6,260.0,4340,18.3,30.9
2740,1988,Europe,Diesel,Front-wheel drive,4,1840,5,223.0,3760,18.1,34.4
2741,1984,Asia,Gasoline,Front-wheel drive,5,2300,6,,4200,18.7,29.0
2742,2009,Europe,Diesel,Front-wheel drive,3,2120,6,252.0,4060,20.3,34.5
2743,2003,Europe,Gasoline,Rear-wheel drive,5,2280,6,243.0,4220,17.9,27.6
2744,2008,Europe,Diesel,All-wheel drive,3,2510,7,273.0,4730,18.0,30.1
2745,1979,USA,Diesel,Front-wheel drive,4,2350,6,278.0,4480,19.0,27.5
2746,1980,USA,Gasoline,Rear-wheel drive,4,2400,6,,4570,19.8,24.5
2747,1999,Asia,Gasoline,Front-wheel drive,4,2350,6,256.0,4220,19.4,31.9
2748,2009,USA,Gasoline,All-wheel drive,4,2310,6,258.0,4600,19.9,26.2
2749,1985,Europe,Gasoline,Rear-wheel drive,3,2780,7,285.0,4860,,25.4
2750,2002,USA,Gasoline,Rear-wheel drive,4,2440,6,288.0,4440,16.2,25.7
2751,2011,Asia,Gasoline,Front-wheel drive,4,2000,5,221.0,3990,19.2,32.9
2752,2012,USA,Gasoline,Front-wheel drive,2,2280,6,248.0,4330,18.9,31.7
2753,2003,Asia,Diesel,Rear-wheel drive,2,2320,6,249.0,4360,19.1,33.3
2754,2011,Europe,Gasoline,Front-wheel drive,4,2440,7,252.0,4360,19.4,26.5
2755,2000,Asia,Gasoline,Front-wheel drive,4,2240,6,260.0,4200,17.6,31.4
2756,2016,USA,Gasoline,Rear-wheel drive,5,2430,7,280.0,4670,18.6,25.1
2757,1978,Europe,Gasoline,Front-wheel drive,3,1870,5,220.0,3600,17.3,29.3
2758,2004,USA,Gasoline,All-wheel drive,4,2100,6,224.0,4440,18.5,27.7
2759,1984,Europe,Gasoline,Front-wheel drive,2,2180,6,230.0,4100,21.0,29.4
2760,1983,Europe,Diesel,Front-wheel drive,3,2370,6,,4370,18.7,26.6
2761,1980,Europe,Gasoline,All-wheel drive,2,2150,6,230.0,4310,18.2,29.7
2762,2019,USA,Hybrid,Front-wheel drive,2,2210,6,249.0,4110,18.4,34.3
2763,1990,Europe,Diesel,Front-wheel drive,4,2480,6,280.0,4440,18.9,30.7
2764,2024,Europe,Gasoline,Front-wheel drive,5,2310,6,261.0,4120,20.0,34.8
2765,2009,USA,Gasoline,Front-wheel drive,3,2460,6,297.0,4230,17.5,30.6
2766,1997,USA,Gasoline,Rear-wheel drive,5,2380,6,267.0,4790,20.1,28.3
2767,2005,Asia,Gasoline,Front-wheel drive,4,2380,6,256.0,4370,18.8,32.8
2768,1981,Asia,Gasoline,Rear-wheel drive,3,2260,6,248.0,4410,20.0,26.0
2769,1989,USA,Diesel,Front-wheel drive,3,2370,6,276.0,4250,19.3,29.8
2770,1996,Asia,Gasoline,Rear-wheel drive,3,1970,6,228.0,3920,19.8,31.2
2771,1981,USA,Gasoline,All-wheel drive,3,2240,6,258.0,4420,17.7,24.3
2772,1989,Asia,Gasoline,Front-wheel drive,5,1960,5,206.0,3960,20.9,32.4
2773,1976,Asia,Gasoline,Front-wheel drive,5,2500,6,268.0,4480,19.4,26.7
2774,2001,Europe,Gasoline,Rear-wheel drive,3,2290,5,245.0,4200,16.5,32.2
2775,2022,USA,Gasoline,Rear-wheel drive,5,2510,7,286.0,4650,19.0,29.6
2776,1980,Europe,Gasoline,Front-wheel drive,3,2060,6,,3870,19.3,32.3
2777,2006,Asia,Gasoline,All-wheel drive,3,2100,6,246.0,4070,18.1,31.5
2778,2005,USA,Gasoline,Front-wheel drive,3,2340,6,253.0,4080,18.5,29.1
2779,1985,Asia,Gasoline,Rear-wheel drive,2,2070,5,236.0,4010,18.2,29.4
2780,2011,Asia,Gasoline,Rear-wheel drive,3,2060,5,242.0,4310,18.5,29.4
2781,1978,Europe,Diesel,Front-wheel drive,3,2450,7,299.0,4330,19.8,30.9
2782,1986,Asia,Diesel,Front-wheel drive,3,1870,5,237.0,3900,19.8,31.2
2783,1996,USA,Gasoline,Front-wheel drive,4,2290,6,240.0,4140,18.7,27.9
2784,2021,Europe,Gasoline,Front-wheel drive,2,2190,6,240.0,3890,18.1,33.6
2785,1977,Asia,Gasoline,Rear-wheel drive,3,2340,6,263.0,4550,17.9,28.4
2786,2019,USA,Gasoline,Front-wheel drive,4,2210,5,222.0,4210,19.1,31.2
2787,1995,USA,Gasoline,Rear-wheel drive,4,2350,6,275.0,4340,19.3,26.8
2788,1984,USA,Diesel,Rear-wheel drive,2,2420,6,,4400,20.7,27.4
2789,1979,USA,Gasoline,Rear-wheel drive,2,2350,6,,4470,17.0,26.7
2790,1999,Europe,Diesel,Front-wheel drive,2,2450,6,287.0,4230,18.2,30.3
2791,1979,USA,Gasoline,Front-wheel drive,2,2240,6,,4130,17.9,27.9
2792,2006,Europe,Gasoline,All-wheel drive,4,2100,6,259.0,4130,20.5,29.8
2793,2013,Europe,Gasoline,Front-wheel drive,5,2410,7,245.0,4640,22.0,29.4
2794,2010,Europe,Gasoline,Rear-wheel drive,2,2240,6,243.0,4200,17.3,30.7
2795,2000,Europe,Gasoline,All-wheel drive,3,2320,6,264.0,4430,18.8,27.9
2796,2014,Asia,Gasoline,Front-wheel drive,4,2270,6,244.0,4260,18.3,30.1
2797,2001,Europe,Diesel,Rear-wheel drive,3,2260,6,273.0,4240,18.3,30.6
2798,1992,Europe,Gasoline,Rear-wheel drive,4,2300,6,275.0,4380,21.0,27.8
2799,2023,Asia,Diesel,All-wheel drive,4,2540,7,285.0,4670,20.7,29.6
2800,2016,USA,Gasoline,Rear-wheel drive,5,2320,6,262.0,4190,16.8,27.6
2801,2002,USA,Gasoline,Front-wheel drive,3,2500,6,279.0,4340,18.2,30.6
2802,1999,USA,Gasoline,Front-wheel drive,3,2390,6,240.0,4290,18.0,27.8
2803,1988,Europe,Gasoline,Rear-wheel drive,3,2450,6,276.0,4520,18.6,25.5
2804,2004,USA,Hybrid,All-wheel drive,2,2480,7,287.0,4500,17.7,30.0
2805,2015,Asia,Diesel,All-wheel drive,5,2640,6,266.0,4920,18.6,28.5
2806,2008,Asia,Gasoline,Rear-wheel drive,4,2340,7,267.0,4550,21.1,30.9
2807,2019,Europe,Gasoline,All-wheel drive,3,2280,6,251.0,4630,17.2,27.2
2808,1988,USA,Hybrid,Rear-wheel drive,5,2340,6,256.0,4380,19.6,27.6
2809,1988,USA,Hybrid,Rear-wheel drive,2,2160,6,,4170,18.2,33.1
2810,1983,Asia,Gasoline,Front-wheel drive,3,2170,7,274.0,3950,20.1,28.7
2811,2020,Asia,Gasoline,All-wheel drive,3,2470,6,262.0,4500,18.2,29.3
2812,1985,USA,Diesel,Front-wheel drive,2,2250,6,273.0,4020,16.9,28.7
2813,2009,USA,Diesel,All-wheel drive,5,2230,6,269.0,4380,19.0,31.6
2814,2000,Europe,Gasoline,Front-wheel drive,3,2220,6,249.0,4120,18.6,33.9
2815,2001,Europe,Diesel,Front-wheel drive,2,2360,6,259.0,4140,20.2,33.7
2816,2011,Europe,Gasoline,Front-wheel drive,4,2250,6,242.0,4230,17.3,32.1
2817,1976,Asia,Gasoline,Front-wheel drive,3,2190,6,,4090,18.8,28.5
2818,1999,Asia,Diesel,Front-wheel drive,5,2290,6,264.0,4160,16.6,31.9
2819,1976,Europe,Hybrid,Rear-wheel drive,3,2480,6,,4330,18.9,27.0
2820,1982,USA,Gasoline,Front-wheel drive,3,2440,7,,4680,19.6,25.2
2821,1976,USA,Gasoline,Rear-wheel drive,4,2360,6,286.0,4460,20.3,25.8
2822,2009,USA,Hybrid,Rear-wheel drive,4,2540,7,278.0,4640,17.6,30.9
2823,1995,Europe,Gasoline,All-wheel drive,4,2180,6,234.0,4320,19.7,27.8
2824,1977,USA,Diesel,All-wheel drive,3,2490,7,291.0,4750,20.2,22.5
2825,1997,Europe,Gasoline,Rear-wheel drive,3,2380,6,256.0,4570,19.3,28.0
2826,2013,Asia,Gasoline,Front-wheel drive,3,2310,6,272.0,4410,17.9,32.8
2827,1976,USA,Gasoline,Front-wheel drive,2,2180,6,,4240,18.0,28.0
2828,1989,Europe,Diesel,All-wheel drive,3,2480,6,253.0,4260,17.2,27.9
2829,2003,Europe,Hybrid,Front-wheel drive,3,2050,5,218.0,3800,19.9,34.9
2830,2015,Europe,Gasoline,Front-wheel drive,4,2230,6,246.0,4240,18.3,30.7
2831,2011,USA,Gasoline,Front-wheel drive,5,2260,7,276.0,4550,17.9,27.7
2832,1980,Asia,Gasoline,Rear-wheel drive,3,2670,7,273.0,4690,17.9,22.5
2833,2005,USA,Gasoline,Front-wheel drive,4,2480,7,277.0,4440,17.9,28.5
2834,2006,Asia,Gasoline,Front-wheel drive,4,2260,6,254.0,4590,19.4,29.8
2835,2010,USA,Hybrid,All-wheel drive,5,2590,7,279.0,4920,19.5,29.6
2836,2013,Europe,Gasoline,All-wheel drive,4,2330,6,262.0,4710,19.9,28.6
2837,2015,Europe,Gasoline,Rear-wheel drive,4,1960,5,223.0,4200,19.7,31.0
2838,2010,Asia,Diesel,Front-wheel drive,3,2070,5,238.0,3920,18.0,34.6
2839,2008,Europe,Diesel,All-wheel drive,2,2370,6,274.0,4320,18.7,30.8
2840,1976,USA,Diesel,Front-wheel drive,3,2250,6,276.0,4410,20.0,30.5
2841,2022,Asia,Gasoline,Front-wheel drive,3,2300,7,265.0,4370,20.5,33.5
2842,1984,USA,Hybrid,Front-wheel drive,4,1980,5,244.0,4060,20.1,32.3
2843,2001,USA,Gasoline,Rear-wheel drive,4,2290,7,266.0,4550,17.9,26.2
2844,2024,Asia,Gasoline,Front-wheel drive,5,2310,6,255.0,4170,18.1,35.8
2845,2011,Asia,Hybrid,All-wheel drive,4,2160,6,255.0,4440,20.4,32.9
2846,2018,Asia,Gasoline,Front-wheel drive,5,2130,6,236.0,4170,17.2,31.8
2847,1988,USA,Gasoline,Rear-wheel drive,3,2390,6,276.0,4830,19.0,25.6
2848,1991,Europe,Gasoline,Front-wheel drive,3,2230,6,233.0,4070,19.5,31.2
2849,1982,Asia,Gasoline,Rear-wheel drive,4,2120,6,229.0,4200,19.0,30.5
2850,1990,Asia,Gasoline,Rear-wheel drive,5,2330,7,275.0,4440,18.9,25.2
2851,1994,Asia,Gasoline,Rear-wheel drive,4,2420,6,271.0,4220,19.9,27.2
2852,1994,USA,Gasoline,Front-wheel drive,4,2490,6,272.0,4220,19.5,29.5
2853,1983,USA,Gasoline,Front-wheel drive,3,2320,6,,4330,19.9,24.7
2854,2005,Asia,Gasoline,Front-wheel drive,3,2420,6,264.0,4340,16.6,28.1
2855,1988,Asia,Diesel,Front-wheel drive,2,2290,6,243.0,3870,19.2,32.1
2856,1986,Asia,Diesel,Front-wheel drive,5,2150,6,249.0,4290,17.1,30.9
2857,2008,Asia,Gasoline,Front-wheel drive,4,2010,6,247.0,4070,17.1,31.5
2858,2006,Europe,Diesel,Front-wheel drive,4,2180,6,268.0,4000,17.6,30.6
2859,1992,Europe,Hybrid,Front-wheel drive,2,2450,7,258.0,4220,20.3,36.6
2860,1981,USA,Gasoline,Front-wheel drive,3,2020,6,,4010,17.8,31.5
2861,2005,USA,Diesel,Front-wheel drive,3,2160,6,294.0,4140,17.7,32.3
2862,1998,Europe,Hybrid,Front-wheel drive,5,2260,6,264.0,4400,18.0,33.1
2863,1987,USA,Gasoline,Front-wheel drive,5,2330,6,270.0,4650,16.0,27.4
2864,2019,USA,Hybrid,Rear-wheel drive,4,2250,6,253.0,4440,18.8,34.7
2865,2003,Europe,Gasoline,Front-wheel drive,4,2510,7,253.0,4220,,31.4
2866,1980,Europe,Gasoline,Front-wheel drive,5,2310,6,253.0,4240,20.4,28.0
2867,1992,Asia,Diesel,All-wheel drive,4,2380,6,268.0,4520,17.8,28.7
2868,2009,USA,Diesel,Front-wheel drive,5,2190,5,264.0,4280,18.6,32.0
2869,1982,Asia,Gasoline,All-wheel drive,4,2410,6,267.0,4650,18.8,26.9
2870,2017,Asia,Gasoline,Rear-wheel drive,2,2170,6,235.0,4360,18.8,31.0
2871,1989,USA,Diesel,Front-wheel drive,3,2470,7,298.0,4560,18.1,29.8
2872,2023,Asia,Gasoline,Front-wheel drive,4,2370,6,257.0,4180,18.4,33.2
2873,2008,Asia,Diesel,Rear-wheel drive,3,2030,6,242.0,3880,17.4,34.1
2874,2024,USA,Gasoline,Rear-wheel drive,4,2090,5,244.0,4090,17.0,32.8
2875,2004,USA,Diesel,Front-wheel drive,2,2140,5,254.0,4200,18.9,34.4
2876,2021,Europe,Gasoline,All-wheel drive,3,2490,7,285.0,4570,20.2,32.4
2877,2014,Asia,Gasoline,Rear-wheel drive,4,2520,7,275.0,4450,20.2,32.6
2878,1978,Europe,Gasoline,All-wheel drive,5,2500,6,,4650,20.2,22.2
2879,2004,USA,Gasoline,Front-wheel drive,3,2150,6,251.0,4000,21.4,30.1
2880,2019,Europe,Diesel,Front-wheel drive,2,2250,6,257.0,3780,18.3,35.5
2881,1979,Europe,Gasoline,Front-wheel drive,2,2280,6,,4030,,29.3
2882,2015,Asia,Hybrid,All-wheel drive,4,1960,6,244.0,4120,20.0,35.8
2883,2020,Asia,Gasoline,Front-wheel drive,3,2320,6,259.0,4330,19.1,32.7
2884,1998,Europe,Gasoline,Rear-wheel drive,4,2280,5,243.0,3910,19.3,29.8
2885,2014,Asia,Hybrid,Rear-wheel drive,3,2380,6,246.0,4500,20.6,32.3
2886,1997,USA,Gasoline,Rear-wheel drive,5,2300,6,282.0,4590,21.0,25.9
2887,2007,USA,Gasoline,Front-wheel drive,4,2350,6,,4410,16.5,27.8
2888,1999,Europe,Gasoline,Front-wheel drive,5,2280,6,243.0,4230,20.2,28.2
2889,2020,Europe,Gasoline,Front-wheel drive,4,2340,6,254.0,4440,,29.6
2890,1989,Asia,Gasoline,Rear-wheel drive,3,2280,6,265.0,4390,20.7,27.7
2891,1986,Asia,Gasoline,All-wheel drive,3,2260,6,209.0,4290,16.4,27.6
2892,1979,USA,Hybrid,Front-wheel drive,3,2310,6,,4240,20.5,29.8
2893,2015,Europe,Hybrid,Front-wheel drive,3,2500,6,267.0,4440,18.7,36.6
2894,1988,Europe,Diesel,All-wheel drive,3,2270,6,268.0,4390,20.0,28.1
2895,1998,Asia,Gasoline,All-wheel drive,3,2320,6,252.0,4650,19.3,26.8
2896,1990,USA,Gasoline,All-wheel drive,2,2570,7,282.0,4630,16.9,24.1
2897,1990,Europe,Gasoline,Front-wheel drive,3,2120,6,239.0,4070,19.9,33.9
2898,2018,USA,Gasoline,Rear-wheel drive,3,2100,5,212.0,4340,19.1,28.5
2899,1981,Asia,Gasoline,Front-wheel drive,2,2290,6,,4170,19.5,28.1
2900,1996,Asia,Gasoline,All-wheel drive,3,2390,6,246.0,4460,19.4,29.7
2901,1987,Europe,Gasoline,Front-wheel drive,3,2240,6,224.0,4020,21.0,31.8
2902,2016,USA,Gasoline,All-wheel drive,3,2020,5,236.0,4100,19.2,29.8
2903,1980,Asia,Diesel,Front-wheel drive,3,2250,6,,4120,17.9,29.9
2904,1977,Asia,Gasoline,Rear-wheel drive,4,2430,7,,4360,18.4,27.4
2905,1987,USA,Gasoline,Rear-wheel drive,4,2640,6,287.0,4870,19.4,24.0
2906,2002,Asia,Diesel,Front-wheel drive,2,2180,6,239.0,4250,20.5,33.1
2907,2012,Europe,Gasoline,Rear-wheel drive,5,2370,6,240.0,4510,20.6,30.2
2908,1981,USA,Diesel,Front-wheel drive,4,2390,6,284.0,4360,16.5,29.1
2909,1989,Asia,Gasoline,Front-wheel drive,3,2390,6,288.0,4390,18.1,28.6
2910,2000,USA,Gasoline,Front-wheel drive,5,2290,6,237.0,4280,17.9,27.3
2911,2013,USA,Gasoline,Front-wheel drive,2,2470,7,279.0,4330,17.4,30.7
2912,1977,Asia,Gasoline,Rear-wheel drive,2,2000,5,211.0,3830,18.1,27.0
2913,2004,Asia,Hybrid,Front-wheel drive,5,2400,6,277.0,4550,19.8,35.7
2914,1977,Europe,Gasoline,Front-wheel drive,4,2440,6,253.0,4380,20.4,29.6
2915,1990,USA,Diesel,Front-wheel drive,5,2620,7,307.0,4690,20.2,28.4
2916,2023,Europe,Gasoline,Front-wheel drive,3,2160,6,228.0,4200,18.5,31.6
2917,2013,Europe,Gasoline,All-wheel drive,4,2030,6,236.0,4260,18.6,28.9
2918,2008,Asia,Gasoline,All-wheel drive,3,1970,6,230.0,4040,19.8,32.7
2919,2012,Asia,Gasoline,Front-wheel drive,4,2560,7,291.0,4570,18.6,30.0
2920,1995,USA,Gasoline,Front-wheel drive,2,2240,6,255.0,4160,19.7,31.7
2921,2008,Asia,Gasoline,Front-wheel drive,4,2170,6,257.0,4190,17.8,31.6
2922,1995,USA,Gasoline,Front-wheel drive,4,2140,5,239.0,4160,20.7,31.9
2923,1983,Europe,Diesel,Front-wheel drive,5,2150,6,,4320,18.0,33.8
2924,1992,USA,Gasoline,Front-wheel drive,5,2250,6,244.0,4050,17.6,28.6
2925,1981,Asia,Gasoline,Front-wheel drive,3,2170,5,,4380,18.9,25.3
2926,2020,Asia,Gasoline,Front-wheel drive,2,1930,5,216.0,3590,15.5,35.2
2927,1998,USA,Diesel,Rear-wheel drive,4,2090,5,250.0,4390,17.7,30.8
2928,2008,Asia,Gasoline,Front-wheel drive,5,2250,6,268.0,4050,19.3,30.6
2929,2014,Asia,Gasoline,Rear-wheel drive,2,2050,5,214.0,3960,18.0,32.4
2930,2018,USA,Diesel,All-wheel drive,2,2610,7,306.0,4950,21.8,28.7
2931,1991,USA,Hybrid,Front-wheel drive,5,1930,5,213.0,3780,17.6,31.3
2932,2005,USA,Diesel,Front-wheel drive,4,2290,6,280.0,4200,18.0,32.1
2933,1998,Asia,Diesel,Rear-wheel drive,2,2350,6,257.0,4320,19.1,30.6
2934,1981,Europe,Gasoline,Front-wheel drive,3,2530,7,,4340,19.8,27.3
2935,2000,USA,Gasoline,Front-wheel drive,4,2510,7,289.0,4440,19.0,27.7
2936,1995,Europe,Gasoline,Rear-wheel drive,5,2190,6,227.0,4330,20.9,24.8
2937,2015,USA,Hybrid,Front-wheel drive,3,2110,6,225.0,4170,16.3,37.4
2938,1979,USA,Gasoline,Rear-wheel drive,4,2510,7,295.0,4800,20.4,25.1
2939,1989,USA,Gasoline,All-wheel drive,4,2340,6,267.0,4520,17.4,24.3
2940,1982,USA,Gasoline,Rear-wheel drive,3,2010,6,214.0,3920,19.9,29.2
2941,1978,USA,Gasoline,Front-wheel drive,4,2060,5,,4010,19.1,27.4
2942,2008,Europe,Gasoline,Front-wheel drive,2,2430,6,267.0,4240,20.0,29.0
2943,1991,Europe,Hybrid,Front-wheel drive,3,2110,5,239.0,4030,18.8,33.1
2944,1980,Europe,Gasoline,Front-wheel drive,3,2240,6,242.0,3990,19.6,30.3
2945,2007,Asia,Gasoline,Front-wheel drive,3,1930,5,208.0,3960,21.9,31.2
2946,2006,Europe,Gasoline,Front-wheel drive,4,2290,6,236.0,4270,21.0,33.3
2947,1995,Asia,Gasoline,Front-wheel drive,5,2280,6,248.0,4230,19.0,31.8
2948,1992,USA,Diesel,Rear-wheel drive,3,2460,7,284.0,4390,19.3,29.1
2949,1987,Asia,Gasoline,Rear-wheel drive,3,2940,8,318.0,5280,19.7,26.5
2950,1994,USA,Gasoline,Rear-wheel drive,4,2510,7,286.0,4600,20.1,25.2
2951,1994,Asia,Gasoline,Front-wheel drive,3,2220,5,246.0,3970,16.6,30.7
2952,1990,USA,Hybrid,Front-wheel drive,4,2600,7,313.0,4290,18.1,31.3
2953,1988,Asia,Hybrid,Front-wheel drive,2,2360,6,264.0,4190,17.0,34.3
2954,2000,Europe,Gasoline,Front-wheel drive,3,1750,5,201.0,3810,18.4,31.4
2955,2006,USA,Gasoline,Rear-wheel drive,3,2180,5,251.0,4110,18.2,28.3
